Official Symbol Interactor A,Official Symbol Interactor B,Interactor A Encoded,Interactor B Encoded,Prediction_Prob,Prediction
APP,DNAL4,118,696,1.0,1
APP,YWHAE,118,2634,1.0,1
APP,DNAH5,118,681,0.99,1
APP,Gfap,118,1057,0.99,1
APP,DNAH3,118,680,0.99,1
APP,CTNNAL1,118,586,0.98,1
APP,CTSO,118,588,0.98,1
APP,DNHD1,118,698,1.0,1
APP,Gm4779,118,1058,0.99,1
APP,DNAL1,118,695,1.0,1
APP,GSN,118,1042,1.0,1
APP,CSNK1A1,118,568,0.99,1
APP,CSGALNACT1,118,567,0.99,1
APP,HSPA5,118,1127,1.0,1
APP,GSTA1,118,1043,1.0,1
APP,Gm8129,118,1059,0.99,1
APP,DNAJC27,118,693,0.99,1
APP,CSNK1E,118,570,0.99,1
APP,GRXCR1,118,1039,1.0,1
APP,GUCY2F,118,1055,0.99,1
APP,GSF2,118,1040,1.0,1
APP,YWHAQ,118,2637,1.0,1
APP,HSPA12B,118,1124,1.0,1
APP,DNAJB13,118,690,0.99,1
APP,CSNK1G1,118,571,0.99,1
APP,DNAJA1,118,688,0.99,1
APP,HSP90AB1,118,1122,1.0,1
APP,DNAH9,118,685,0.99,1
APP,DNAI2,118,687,0.99,1
APP,HSP90AA5P,118,1121,1.0,1
APP,HSPA1L,118,1125,1.0,1
APP,YTHDF3,118,2633,1.0,1
APP,DNM2,118,699,1.0,1
APP,GUCY2D,118,1054,0.99,1
APP,CSNK1D,118,569,0.99,1
APP,GUCA1A,118,1050,0.99,1
APP,DNAH6,118,682,0.99,1
APP,GYPA,118,1056,0.99,1
APP,YWHAG,118,2635,1.0,1
APP,GTT1,118,1049,0.99,1
APP,GTF2E1,118,1047,0.99,1
APP,CTD-3148I10.1,118,585,0.98,1
APP,DNAH8,118,684,0.99,1
APP,ARAF,118,119,1.0,1
APP,DNAJC6,118,694,1.0,1
APP,YWHAH,118,2636,1.0,1
APP,DNAJA4,118,689,0.99,1
APP,DNAJC13,118,691,0.99,1
APP,Gtf2e2,118,1061,0.99,1
APP,HSPBP1,118,1130,1.0,1
APP,DNAJC25-GNG10,118,692,0.99,1
APP,HSPB11,118,1129,1.0,1
HSP90AA1,GTF2H1,1120,1048,0.99,1
HSP90AA1,APP,1120,118,1.0,1
HSP90AA1,HUWE1,1120,1134,1.0,1
HSP90AA1,TUBA1B,1120,2480,1.0,1
HSP90AA1,HSP90B1,1120,1123,1.0,1
HSP90AA1,ARF4,1120,121,1.0,1
HSP90AA1,ARHGAP5,1120,130,1.0,1
HSP90AA1,YTHDF2,1120,2632,1.0,1
HSP90AA1,TRIM27,1120,2427,0.98,1
HSP90AA1,AKT1,1120,76,1.0,1
HSP90AA1,GSTA2,1120,1044,1.0,1
HSP90AA1,HSPA8,1120,1128,1.0,1
HSP90AA1,ARFGEF2,1120,123,1.0,1
HSP90AA1,GUCA1C,1120,1052,0.99,1
HSP90AA1,ARL6,1120,142,0.98,1
HSP90AA1,FMNL3,1120,922,0.99,1
HSP90AA1,EEF1A1,1120,757,0.99,1
HSP90AA1,HDAC6,1120,1079,1.0,1
HSP90AA1,CTNNB1,1120,587,1.0,1
HSP90AA1,ARL13B,1120,137,0.99,1
HSP90AA1,TUBB2B,1120,2486,0.99,1
HSP90AA1,FLNB,1120,920,0.99,1
HSP90AA1,ARHGAP35,1120,129,1.0,1
HSP90AA1,HAUS3,1120,1069,0.99,1
HSP90AA1,GUCA1B,1120,1051,0.99,1
HSP90AA1,HAUS2,1120,1068,0.99,1
HSP90AA1,GUCA2B,1120,1053,0.99,1
HSP90AA1,GSK3B,1120,1041,1.0,1
HSP90AA1,HCN2,1120,1076,0.99,1
HSP90AA1,ARL4D,1120,141,0.98,1
HSP90AA1,GSTM5,1120,1046,0.99,1
HSP90AA1,Gsk3b,1120,1060,0.99,1
HSP90AA1,HSPA4L,1120,1126,1.0,1
HSP90AA1,HHIP,1120,1087,1.0,1
HSP90AA1,ZBBX,1120,2638,1.0,1
HSP90AA1,PRKAR2B,1120,1830,0.98,1
HSP90AA1,"ARG5,6",1120,126,1.0,1
HSP90AA1,CYLD,1120,597,0.99,1
