,Gene,Known PPIs,Novel PPIs,Novel Interactors
3,CDHR1,0,21,"CDK5RAP2, CEP120, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, SPTBN5, SQRDL, SQSTM1, SRGAP3, SRM, SRP72, SRPR"
13,CDHR3,0,21,"CDK5RAP2, CEP120, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, SPTBN5, SQRDL, SQSTM1, SRGAP3, SRM, SRP72, SRPR"
36,CDK1,18,21,"CDK5RAP2, CEP120, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, SPTBN5, SQRDL, SQSTM1, SRGAP3, SRM, SRP72, SRPR"
146,AKT1,19,21,"GRXCR1, GSDMA, GSK3B, GSN, GSS, GSTA1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, PRKACA, PRKACB, PRKACG"
165,AKAP9,4,21,"GRXCR1, GSDMA, GSK3B, GSN, GSS, GSTA1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, PRKACA, PRKACB, PRKACG"
35,AURKA,9,20,"HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11"
46,ATXN10,1,20,"HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11"
91,AVIL,0,20,"HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11"
130,SQSTM1,35,19,"CDH23, CDHR1, CDHR3, CDK1, CDK5RAP2, GSK3B, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, SPTBN5, SQRDL, SRGAP3, SRM, SRP72, SRPR"
172,CDH23,0,19,"HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, SPTBN5, SQRDL, SQSTM1, SRGAP3, SRM, SRP72, SRPR"
187,CEP120,0,19,"CDH3, CDHR1, CDHR3, CDK1, CDK11B, CDK20, CDK2AP2, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11"
