Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
YWHAG,GO:0005515,PMID:20936779,IPI,UniProtKB:Q92934,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:20936779,IPI,UniProtKB:Q96GE4,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:20936779,IPI,UniProtKB:Q96PU5,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:20936779,IPI,UniProtKB:Q99550,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:20936779,IPI,UniProtKB:Q9GZV5,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:20936779,IPI,UniProtKB:Q9H4A3,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:20936779,IPI,UniProtKB:Q9HC77,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:20936779,IPI,UniProtKB:Q9NYF3,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:20936779,IPI,UniProtKB:Q9P0V3,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:20936779,IPI,UniProtKB:Q9Y2J2,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:21044950,IPI,UniProtKB:Q9BSI4,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:21988832,IPI,UniProtKB:P62258,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:22653443,IPI,UniProtKB:P04637,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:23075850,IPI,UniProtKB:Q5S007,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:23572552,IPI,UniProtKB:Q8WUA7,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20160427,UniProt,,,
YWHAG,GO:0005515,PMID:23572552,IPI,UniProtKB:Q9NU19,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20160427,UniProt,,,
YWHAG,GO:0005515,PMID:23572552,IPI,UniProtKB:Q9UBF8,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20160427,UniProt,,,
YWHAG,GO:0005515,PMID:23622247,IPI,UniProtKB:P61588,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:23752268,IPI,UniProtKB:P56524,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:24255178,IPI,UniProtKB:P31946,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:24366813,IPI,UniProtKB:Q9Y2J2,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:24947832,IPI,UniProtKB:Q5S007,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:25416956,IPI,UniProtKB:P56524,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:25416956,IPI,UniProtKB:Q9NYF3,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:25852190,IPI,UniProtKB:P00519,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,GO:0005634,,
YWHAG,GO:0005515,PMID:25852190,IPI,UniProtKB:P04049,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:26184334,IPI,UniProtKB:P62258,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:26496610,IPI,UniProtKB:P30305,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
