Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
Hsp90ab1,GO:0002134,PMID:12755697|RGD:724444,IDA,,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20110204,RGD,,,
Hsp90ab1,GO:0002135,PMID:12755697|RGD:724444,IDA,,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20110204,RGD,,,
Hsp90ab1,GO:0003725,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0003725,RGD:1624291,ISO,UniProtKB:P08238,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20131009,RGD,,,
Hsp90ab1,GO:0005515,PMID:18644871|RGD:10412301,IPI,UniProtKB:P17046,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20160615,ParkinsonsUK-UCL,,,
Hsp90ab1,GO:0005515,PMID:21742014|RGD:5686378,IPI,RGD:69316,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20120120,RGD,,,
Hsp90ab1,GO:0005515,PMID:22120110|RGD:5686376,IPI,RGD:1596143,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20120119,RGD,,,
Hsp90ab1,GO:0005515,PMID:23428871|RGD:12790637,IPI,UniProtKB:P0C865,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20170209,UniProt,,,
Hsp90ab1,GO:0005515,PMID:27496612|RGD:14695071,IPI,UniProtKB:P82995|UniProtKB:Q4KLJ8,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20190628,UniProt,,,
Hsp90ab1,GO:0005524,GO_REF:0000043|RGD:1600115,IEA,UniProtKB-KW:KW-0067,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240408,UniProt,,UniProtKB:A0A0G2K793,
Hsp90ab1,GO:0005524,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0005524,PMID:10617604|RGD:1304537,TAS,,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20060127,RGD,,,
Hsp90ab1,GO:0005524,PMID:12755697|RGD:724444,IDA,,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20110204,RGD,,,
Hsp90ab1,GO:0005524,PMID:14987991|RGD:1304538,TAS,,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20060127,RGD,,,
Hsp90ab1,GO:0005524,RGD:1624291,ISO,UniProtKB:P08238,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20170110,RGD,,,
Hsp90ab1,GO:0005525,PMID:12755697|RGD:724444,IDA,,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20110204,RGD,,,
Hsp90ab1,GO:0005576,GO_REF:0000024|RGD:1600115,ISS,UniProtKB:P08238,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20170224,UniProt,,,
Hsp90ab1,GO:0005576,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0005576,RGD:1624291,ISO,UniProtKB:P08238,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20170214,RGD,,,
Hsp90ab1,GO:0005634,GO_REF:0000024|RGD:1600115,ISS,UniProtKB:P08238,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20170224,UniProt,,,
Hsp90ab1,GO:0005634,RGD:1624291,ISO,UniProtKB:P08238,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20161013,RGD,,,
Hsp90ab1,GO:0005737,RGD:1624291,ISO,MGI:96247,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20190325,RGD,,,
Hsp90ab1,GO:0005737,RGD:1624291,ISO,UniProtKB:P08238,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20161014,RGD,,,
Hsp90ab1,GO:0005765,PMID:18644871|RGD:10412301,IDA,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20151116,ParkinsonsUK-UCL,,,
Hsp90ab1,GO:0005829,GO_REF:0000052|RGD:1624291,ISO,UniProtKB:P08238,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20230619,RGD,,,
Hsp90ab1,GO:0005829,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0006457,GO_REF:0000002|RGD:1600115,IEA,InterPro:IPR001404,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240408,InterPro,,UniProtKB:A0A0G2K793,
Hsp90ab1,GO:0006457,GO_REF:0000002|RGD:1600115,IEA,InterPro:IPR001404|InterPro:IPR019805,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240408,InterPro,,UniProtKB:A0A8I6AKS6,
Hsp90ab1,GO:0006457,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P11499|ensembl:ENSMUSP00000024739,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0006457,PMID:10617604|RGD:1304537,TAS,,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20060127,RGD,,,
Hsp90ab1,GO:0006457,PMID:14987991|RGD:1304538,TAS,,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20060127,RGD,,,
Hsp90ab1,GO:0006457,RGD:1624291,ISO,MGI:96247,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20190628,RGD,,,
Hsp90ab1,GO:0006986,PMID:10617604|RGD:1304537,TAS,,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20060127,RGD,,,
Hsp90ab1,GO:0006986,PMID:14987991|RGD:1304538,TAS,,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20060127,RGD,,,
Hsp90ab1,GO:0007004,RGD:1624291,ISO,UniProtKB:P08238,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240320,RGD,,,
Hsp90ab1,GO:0007004,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0008180,RGD:1624291,ISO,UniProtKB:P08238,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20110518,RGD,,,
Hsp90ab1,GO:0008180,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0009410,PMID:24478030|RGD:10445831,IEP,,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20151204,RGD,,,
Hsp90ab1,GO:0009651,PMID:15497505|RGD:2316936,IEP,,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20110112,RGD,,,
Hsp90ab1,GO:0009986,PMID:19948165|RGD:5686801,IDA,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20120126,RGD,,,
Hsp90ab1,GO:0016234,PMID:18445155|RGD:5686867,IDA,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20120130,RGD,,,
Hsp90ab1,GO:0016323,PMID:15497505|RGD:2316936,IDA,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20110112,RGD,,,
Hsp90ab1,GO:0016324,PMID:15497505|RGD:2316936,IDA,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20110112,RGD,,,
Hsp90ab1,GO:0016887,GO_REF:0000002|RGD:1600115,IEA,InterPro:IPR001404,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240408,InterPro,,,
Hsp90ab1,GO:0017098,PMID:20427569|RGD:5686755,IPI,UniProtKB:Q09427,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20120125,RGD,,,
Hsp90ab1,GO:0019062,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0019062,RGD:1624291,ISO,UniProtKB:P08238,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20131012,RGD,,,
Hsp90ab1,GO:0019887,RGD:1624291,ISO,MGI:96247,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20151102,RGD,,,
Hsp90ab1,GO:0019887,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P11499|ensembl:ENSMUSP00000024739,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
